opportunity_id,property_id,property_source,market_segment,distribution_channel,lead_time_band,deposit_type,bookings,cancellations,cancellation_rate,lost_revenue,realized_revenue,commission_cost,achievable_cancellation_reduction,estimated_recoverable_revenue,recommended_intervention,priority_score,priority_rank
OPP055,P002,City Hotel,Offline TA/TO,TA/TO,8-30 days,No Deposit,1410,173,0.1227,39192.94,311706.5,56107.11,0.06,2351.58,Use targeted pre-arrival confirmation and upsell messaging,6.83,52
OPP016,P001,Resort Hotel,Offline TA/TO,TA/TO,8-30 days,No Deposit,945,113,0.1196,36299.35,243493.26,43828.67,0.06,2177.96,Use targeted pre-arrival confirmation and upsell messaging,6.11,53
OPP002,P001,Resort Hotel,Direct,Direct,0-7 days,No Deposit,2795,165,0.059,29133.63,407098.56,8141.93,0.06,1748.02,Use targeted pre-arrival confirmation and upsell messaging,6.02,54
OPP068,P002,City Hotel,Aviation,Corporate,0-7 days,No Deposit,183,38,0.2077,10502.0,46396.36,1391.89,0.06,630.12,Use targeted pre-arrival confirmation and upsell messaging,6.0,55
OPP003,P001,Resort Hotel,Corporate,Corporate,8-30 days,No Deposit,469,76,0.162,17040.11,61589.46,1847.65,0.06,1022.41,Use targeted pre-arrival confirmation and upsell messaging,5.54,56
OPP054,P002,City Hotel,Corporate,Corporate,8-30 days,No Deposit,727,105,0.1444,18603.12,104968.42,3149.03,0.06,1116.19,Use targeted pre-arrival confirmation and upsell messaging,5.45,57
OPP058,P002,City Hotel,Corporate,Corporate,31-90 days,No Deposit,283,45,0.159,8584.02,37235.68,1117.05,0.06,515.04,"Review pricing, cancellation policy, and capacity allocation for segment",4.77,58
OPP028,P001,Resort Hotel,Groups,Corporate,8-30 days,No Deposit,146,24,0.1644,6648.0,17415.5,522.46,0.06,398.88,Use targeted pre-arrival confirmation and upsell messaging,4.65,59
OPP039,P002,City Hotel,Groups,TA/TO,0-7 days,No Deposit,328,48,0.1463,10972.2,58720.03,10569.61,0.06,658.33,Use targeted pre-arrival confirmation and upsell messaging,4.64,60
OPP053,P002,City Hotel,Corporate,Corporate,0-7 days,No Deposit,1281,102,0.0796,16121.9,166224.77,4986.76,0.06,967.31,Use targeted pre-arrival confirmation and upsell messaging,4.24,61
OPP030,P001,Resort Hotel,Groups,Direct,91-180 days,No Deposit,161,23,0.1429,1773.85,35910.58,718.21,0.06,106.43,"Review pricing, cancellation policy, and capacity allocation for segment",3.84,62
OPP026,P001,Resort Hotel,Groups,Direct,181+ days,No Deposit,358,36,0.1006,14282.91,106515.25,2130.23,0.06,856.97,"Review pricing, cancellation policy, and capacity allocation for segment",3.73,63
OPP008,P001,Resort Hotel,Corporate,Corporate,0-7 days,No Deposit,1251,92,0.0735,8317.54,81246.27,2437.32,0.06,499.05,Use targeted pre-arrival confirmation and upsell messaging,3.59,64
OPP033,P001,Resort Hotel,Groups,Corporate,181+ days,No Deposit,306,25,0.0817,11171.0,74933.67,2247.83,0.06,670.26,"Review pricing, cancellation policy, and capacity allocation for segment",3.02,65
OPP050,P002,City Hotel,Complementary,Direct,0-7 days,No Deposit,330,34,0.103,0.0,1444.0,28.88,0.06,0.0,Use targeted pre-arrival confirmation and upsell messaging,2.91,66
OPP014,P001,Resort Hotel,Offline TA/TO,TA/TO,0-7 days,No Deposit,851,45,0.0529,11148.26,99197.93,17855.6,0.06,668.9,Use targeted pre-arrival confirmation and upsell messaging,2.84,67
OPP027,P001,Resort Hotel,Groups,Corporate,0-7 days,No Deposit,155,13,0.0839,2266.0,23368.79,701.05,0.06,135.96,Use targeted pre-arrival confirmation and upsell messaging,2.39,68
OPP034,P001,Resort Hotel,Direct,TA/TO,0-7 days,No Deposit,125,0,0.0,0.0,19153.84,3447.68,0.06,0.0,Use targeted pre-arrival confirmation and upsell messaging,0.12,69
